Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
49,0,0.988660,2.604209,2.088965,-96.690529,227.046387,127.807587,0.944836,2.256350,2.159404,147.677475,216.008514,125.665161
50,0,0.989121,2.604412,2.088681,-96.690712,227.047455,127.812851,0.944842,2.256334,2.159366,147.675125,216.011581,125.667931
51,0,0.988807,2.604280,2.088857,-96.689537,227.045319,127.811073,0.944792,2.256297,2.159438,147.675110,216.011581,125.672890
52,0,0.988771,2.604298,2.088909,-96.690819,227.048416,127.814575,0.944554,2.256329,2.159286,147.676346,216.012024,125.673058
53,0,0.988948,2.604264,2.088766,-96.689728,227.047760,127.816093,0.944883,2.256329,2.159359,147.678696,216.014160,125.675232
54,0,0.988473,2.604318,2.088725,-96.688019,227.052567,127.821609,0.944695,2.256358,2.159382,147.679062,216.014359,125.671524
55,0,0.988974,2.604362,2.088718,-96.689629,227.050858,127.816978,0.944987,2.256268,2.159505,147.679535,216.020203,125.682564
56,0,0.988749,2.604259,2.088770,-96.689796,227.053604,127.825562,0.944742,2.256365,2.159387,147.676788,216.016876,125.677094
57,0,0.988704,2.604257,2.089020,-96.685303,227.054688,127.825050,0.944679,2.256315,2.159282,147.676437,216.021332,125.686806
58,0,0.988805,2.604359,2.088793,-96.686340,227.053894,127.826645,0.944906,2.256345,2.159440,147.673569,216.017532,125.681267
59,0,0.988895,2.604295,2.088955,-96.690086,227.055588,127.825737,0.944933,2.256295,2.159444,147.674103,216.021057,125.688255
60,0,0.988624,2.604265,2.088762,-96.691826,227.052795,127.823608,0.945054,2.256307,2.159520,147.668640,216.022766,125.686676
61,0,0.988318,2.604263,2.088701,-96.692078,227.056824,127.826172,0.944853,2.256359,2.159274,147.675278,216.018997,125.685158
62,0,0.989187,2.604313,2.088835,-96.689865,227.055023,127.821472,0.944777,2.256373,2.159290,147.677155,216.019547,125.679482
63,0,0.988517,2.604287,2.088775,-96.692345,227.057999,127.818031,0.944890,2.256324,2.159465,147.670120,216.025864,125.686523
64,0,0.989091,2.604293,2.088863,-96.690834,227.056107,127.817482,0.944616,2.256363,2.159238,147.673447,216.019043,125.674652
65,0,0.988679,2.604365,2.088681,-96.691330,227.056320,127.810959,0.944747,2.256334,2.159333,147.677399,216.018967,125.667992
66,0,0.988360,2.604367,2.088664,-96.689163,227.056000,127.806602,0.944724,2.256279,2.159395,147.674683,216.019913,125.664207
67,0,0.988851,2.604283,2.088831,-96.690826,227.053299,127.800407,0.944557,2.256384,2.159191,147.679947,216.014893,125.657097
68,0,0.988712,2.604249,2.088984,-96.689423,227.051346,127.794701,0.944614,2.256413,2.159207,147.681198,216.016251,125.652504
69,0,0.989285,2.604308,2.088838,-96.689728,227.051514,127.799019,0.944843,2.256326,2.159464,147.679550,216.017639,125.654846
70,0,0.988854,2.604343,2.088959,-96.685249,227.050125,127.796021,0.944753,2.256353,2.159255,147.676559,216.014236,125.655281
71,0,0.988555,2.604277,2.088853,-96.683861,227.051727,127.798706,0.944727,2.256335,2.159277,147.676819,216.010757,125.657600
72,0,0.988617,2.604244,2.088663,-96.686417,227.050308,127.800453,0.944720,2.256353,2.159346,147.677246,216.013443,125.664886
73,0,0.988726,2.604245,2.088927,-96.683884,227.046310,127.799614,0.944836,2.256307,2.159346,147.681458,216.011917,125.658882
74,0,0.988420,2.604293,2.088764,-96.683243,227.047089,127.802086,0.944715,2.256328,2.159391,147.684265,216.014648,125.658096
75,0,0.988963,2.604360,2.089007,-96.684013,227.045944,127.805336,0.944703,2.256345,2.159264,147.681656,216.012665,125.667168
76,0,0.988579,2.604341,2.088720,-96.682335,227.047287,127.808350,0.944580,2.256353,2.159244,147.685074,216.009888,125.662865
77,0,0.988489,2.604235,2.088879,-96.683640,227.042496,127.806786,0.944562,2.256348,2.159309,147.689453,216.007370,125.660286
78,0,0.988681,2.604238,2.088767,-96.682655,227.044693,127.809402,0.944703,2.256346,2.159326,147.683014,216.010880,125.669853
79,0,0.988603,2.604391,2.088669,-96.681534,227.043594,127.807838,0.944783,2.256308,2.159390,147.683792,216.005997,125.670212
80,0,0.988561,2.604403,2.088604,-96.681099,227.043625,127.811966,0.944900,2.256325,2.159314,147.683197,216.010498,125.666885
81,0,0.988431,2.604253,2.088886,-96.684181,227.045074,127.804443,0.944811,2.256342,2.159365,147.681351,216.008438,125.669434
82,0,0.988788,2.604271,2.088711,-96.684616,227.042709,127.808723,0.944537,2.256408,2.159194,147.681244,216.009186,125.666367
83,0,0.988622,2.604261,2.088806,-96.688515,227.045105,127.809303,0.944663,2.256282,2.159376,147.682114,216.008347,125.666382
84,0,0.988958,2.604250,2.088899,-96.688934,227.045624,127.810791,0.944592,2.256361,2.159291,147.679016,216.008743,125.668900
85,0,0.988543,2.604188,2.088923,-96.691559,227.044647,127.807945,0.944543,2.256387,2.159234,147.678574,216.009628,125.667778
86,0,0.988995,2.604239,2.088894,-96.690559,227.045731,127.808792,0.944668,2.256350,2.159332,147.673721,216.009964,125.667511
87,0,0.988423,2.604239,2.088721,-96.692108,227.046371,127.808304,0.944708,2.256323,2.159320,147.673599,216.011627,125.668648
88,0,0.988484,2.604280,2.088721,-96.693741,227.047775,127.813622,0.944848,2.256337,2.159446,147.673187,216.010208,125.669556
89,0,0.988775,2.604283,2.088857,-96.692383,227.050049,127.813805,0.944532,2.256419,2.159230,147.672058,216.015869,125.675735
90,0,0.988729,2.604229,2.088863,-96.692131,227.054092,127.815666,0.944691,2.256358,2.159418,147.673615,216.015945,125.674576
91,0,0.988775,2.604348,2.088852,-96.691223,227.052521,127.812714,0.944669,2.256385,2.159232,147.672562,216.018997,125.679176
92,0,0.988610,2.604292,2.088781,-96.692352,227.053574,127.817307,0.944761,2.256397,2.159328,147.669510,216.017014,125.674622
93,0,0.988889,2.604405,2.088653,-96.691055,227.057098,127.815453,0.944743,2.256305,2.159408,147.672775,216.021408,125.677704
94,0,0.988762,2.604323,2.088703,-96.692131,227.058517,127.818436,0.944740,2.256371,2.159282,147.670425,216.020782,125.675125
95,0,0.988873,2.604300,2.088895,-96.689941,227.058701,127.818314,0.944880,2.256283,2.159412,147.669342,216.025421,125.683250
96,0,0.988518,2.604399,2.088594,-96.689667,227.060425,127.825783,0.944557,2.256374,2.159200,147.672363,216.023132,125.682991
97,0,0.988684,2.604322,2.088734,-96.691849,227.060715,127.824547,0.944800,2.256350,2.159467,147.671204,216.021545,125.678642
98,0,0.988931,2.604300,2.088962,-96.688698,227.060699,127.823814,0.944832,2.256345,2.159364,147.671829,216.027206,125.683769
99,0,0.988755,2.604367,2.088734,-96.690353,227.062027,127.828423,0.944510,2.256374,2.159132,147.676682,216.023941,125.678497
100,0,0.988743,2.604331,2.088754,-96.690681,227.060776,127.820297,0.944754,2.256330,2.159362,147.672012,216.023178,125.679138
101,0,0.988874,2.604308,2.088850,-96.691162,227.057495,127.820816,0.944829,2.256311,2.159349,147.674072,216.020538,125.674934
102,0,0.988922,2.604330,2.088763,-96.691994,227.057465,127.822403,0.944926,2.256304,2.159397,147.676575,216.023483,125.676605
103,0,0.988947,2.604311,2.088787,-96.692314,227.055344,127.820122,0.944942,2.256347,2.159413,147.672226,216.021286,125.679344
104,0,0.988699,2.604262,2.088738,-96.692482,227.053452,127.815323,0.944879,2.256319,2.159438,147.668900,216.018448,125.677246
105,0,0.988761,2.604216,2.088824,-96.690208,227.052994,127.815369,0.944718,2.256345,2.159344,147.671448,216.017044,125.670151
106,0,0.988400,2.604274,2.088760,-96.690239,227.051102,127.806290,0.944668,2.256407,2.159255,147.677231,216.012772,125.663086
107,0,0.988713,2.604337,2.088669,-96.692406,227.049545,127.803650,0.944737,2.256360,2.159442,147.675629,216.013077,125.658554
108,0,0.988593,2.604266,2.088789,-96.690742,227.046295,127.797424,0.944893,2.256346,2.159441,147.677673,216.011353,125.655724
109,0,0.988768,2.604348,2.088757,-96.690392,227.046387,127.800552,0.944718,2.256422,2.159211,147.674988,216.011292,125.657875
110,0,0.988570,2.604262,2.088933,-96.691216,227.045914,127.801430,0.944835,2.256380,2.159282,147.676910,216.007462,125.657333
111,0,0.988568,2.604334,2.088664,-96.689316,227.046555,127.802696,0.944538,2.256393,2.159217,147.680893,216.003983,125.656799
112,0,0.988354,2.604355,2.088854,-96.688232,227.044479,127.805054,0.944765,2.256288,2.159432,147.680450,216.004639,125.656097
113,0,0.988904,2.604366,2.088735,-96.688019,227.044968,127.801819,0.944878,2.256262,2.159648,147.678726,216.007828,125.659286
114,0,0.988556,2.604147,2.088809,-96.686211,227.045090,127.802986,0.944780,2.256371,2.159279,147.681534,216.008408,125.658005
115,0,0.988765,2.604315,2.088795,-96.683342,227.045441,127.803551,0.944887,2.256320,2.159426,147.685471,216.008347,125.660286
116,0,0.988595,2.604397,2.088744,-96.682007,227.044876,127.807396,0.944772,2.256375,2.159288,147.683960,216.004440,125.661583
117,0,0.988826,2.604293,2.088918,-96.683975,227.047195,127.808975,0.944540,2.256304,2.159274,147.683151,216.010727,125.672218
118,0,0.988739,2.604402,2.088493,-96.684227,227.047562,127.815041,0.944579,2.256364,2.159384,147.682404,216.010757,125.666153
119,0,0.988574,2.604258,2.088794,-96.684090,227.046509,127.809975,0.944523,2.256382,2.159236,147.686249,216.010544,125.670326
120,0,0.988871,2.604246,2.088893,-96.682266,227.044815,127.810822,0.944452,2.256424,2.159125,147.678925,216.011749,125.670448
121,0,0.988725,2.604250,2.088887,-96.683395,227.046143,127.812294,0.944672,2.256366,2.159396,147.680893,216.012054,125.676079
122,0,0.988753,2.604200,2.088961,-96.687340,227.049957,127.813545,0.944585,2.256338,2.159285,147.683090,216.012573,125.669807
123,0,0.988885,2.604405,2.088756,-96.686478,227.048569,127.815109,0.944848,2.256325,2.159411,147.677612,216.012405,125.676704
124,0,0.988734,2.604315,2.088751,-96.688354,227.050354,127.816292,0.944705,2.256405,2.159198,147.681061,216.013214,125.666962
125,0,0.988850,2.604236,2.088711,-96.690529,227.050446,127.814445,0.944710,2.256341,2.159349,147.675598,216.018173,125.674141
126,0,0.988668,2.604237,2.088818,-96.691231,227.051636,127.810776,0.944750,2.256330,2.159360,147.672165,216.016968,125.673920
