Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.851712,2.595535,2.050237,-100.426010,227.204132,130.393311,0.983153,2.164768,2.187362,133.753601,222.849655,127.206100
2,0,0.851537,2.595595,2.050010,-100.427620,227.211288,130.400589,0.982895,2.164763,2.187359,133.751724,222.851730,127.213570
3,0,0.851709,2.595474,2.050247,-100.431030,227.211060,130.397934,0.983011,2.164757,2.187290,133.746078,222.852280,127.212929
4,0,0.851563,2.595574,2.049980,-100.431992,227.211838,130.399353,0.983066,2.164786,2.187293,133.745743,222.848175,127.207275
5,0,0.851496,2.595472,2.050082,-100.431984,227.208984,130.394638,0.983187,2.164792,2.187349,133.747299,222.850052,127.210304
6,0,0.851566,2.595551,2.049965,-100.432899,227.211258,130.399445,0.983196,2.164716,2.187500,133.747543,222.853439,127.212166
7,0,0.851105,2.595457,2.050081,-100.430527,227.212021,130.396057,0.983014,2.164722,2.187463,133.749008,222.852325,127.204834
8,0,0.851478,2.595479,2.050137,-100.432083,227.208176,130.397522,0.983196,2.164712,2.187458,133.747696,222.854233,127.209885
9,0,0.851636,2.595447,2.050262,-100.431297,227.212616,130.406601,0.983198,2.164729,2.187418,133.745346,222.853180,127.218979
10,0,0.851462,2.595472,2.050089,-100.430550,227.211395,130.407654,0.983015,2.164759,2.187256,133.744888,222.851364,127.224174
11,0,0.851489,2.595443,2.050323,-100.431236,227.212631,130.416565,0.983102,2.164709,2.187364,133.745667,222.853638,127.227379
12,0,0.851165,2.595456,2.050187,-100.433929,227.211945,130.420044,0.982990,2.164756,2.187263,133.742462,222.853012,127.234322
13,0,0.851247,2.595606,2.049910,-100.433968,227.212723,130.424255,0.982771,2.164851,2.187166,133.743179,222.853378,127.232475
14,0,0.851437,2.595564,2.050148,-100.431015,227.213120,130.424469,0.983170,2.164792,2.187385,133.738724,222.857239,127.241951
15,0,0.851238,2.595488,2.049977,-100.433205,227.213593,130.430176,0.982972,2.164810,2.187300,133.745575,222.857208,127.244980
16,0,0.851134,2.595376,2.050143,-100.434700,227.213898,130.430679,0.983051,2.164787,2.187341,133.746292,222.857803,127.240005
17,0,0.851379,2.595443,2.050256,-100.434357,227.213058,130.431213,0.982942,2.164752,2.187284,133.744095,222.855316,127.243935
18,0,0.851252,2.595431,2.050029,-100.435806,227.213287,130.430954,0.983196,2.164743,2.187350,133.743484,222.852448,127.243179
19,0,0.850743,2.595402,2.050002,-100.435471,227.214951,130.428482,0.982964,2.164759,2.187240,133.742996,222.857101,127.239822
20,0,0.851322,2.595550,2.049927,-100.437469,227.211014,130.423019,0.982846,2.164711,2.187356,133.741058,222.855453,127.235428
21,0,0.851417,2.595482,2.050280,-100.436882,227.215103,130.422363,0.983059,2.164747,2.187370,133.739349,222.860443,127.236900
22,0,0.851615,2.595421,2.050202,-100.436508,227.214203,130.416748,0.983033,2.164739,2.187310,133.740677,222.857452,127.230362
23,0,0.851517,2.595581,2.049932,-100.438202,227.212036,130.411957,0.983019,2.164770,2.187453,133.737839,222.860458,127.226112
24,0,0.851416,2.595478,2.050194,-100.437271,227.213379,130.409653,0.983149,2.164734,2.187352,133.739670,222.854858,127.221924
25,0,0.851678,2.595421,2.050321,-100.440956,227.213333,130.408325,0.983179,2.164774,2.187409,133.735443,222.856796,127.222878
